2023-11-14 00:03:30.174 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-14 00:14:27.810 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@236c227, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@478cf5ab, org.springframework.security.web.context.SecurityContextPersistenceFilter@35adcb5e, org.springframework.security.web.header.HeaderWriterFilter@715f4372, org.springframework.security.web.authentication.logout.LogoutFilter@3b5f6ee3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1fbb5882, org.springframework.security.web.session.ConcurrentSessionFilter@55c046f1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c40d6da, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7368de32, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@25ba07b4, org.springframework.security.web.session.SessionManagementFilter@690e3c35, org.springframework.security.web.access.ExceptionTranslationFilter@2a92c1f6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2015ea2c]
2023-11-14 00:14:28.179 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-14 00:14:28.195 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-14 00:14:28.211 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-14 00:14:28.221 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 2.406 seconds (JVM running for 3.134)
2023-11-14 00:14:28.463 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-14 00:14:28.463 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-14 00:14:28.463 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-14 00:14:28.510 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-14 00:14:28.590 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-14 00:15:18.823 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-14 00:15:18.828 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-14 00:15:29.185 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 30548 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-14 00:15:29.187 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-14 00:15:29.391 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-14 00:15:29.393 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-14 00:15:30.354 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-14 00:15:30.362 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-14 00:15:30.363 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-14 00:15:30.364 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-14 00:15:30.434 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-14 00:15:30.434 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1041 ms
2023-11-14 00:15:30.964 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@15e60292, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@248d22ea, org.springframework.security.web.context.SecurityContextPersistenceFilter@23318595, org.springframework.security.web.header.HeaderWriterFilter@47f7865, org.springframework.security.web.authentication.logout.LogoutFilter@6ab60781, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6d9b882c, org.springframework.security.web.session.ConcurrentSessionFilter@193bd172, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6a31dbcf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7f49cb87, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a330953, org.springframework.security.web.session.SessionManagementFilter@3c87ab0d, org.springframework.security.web.access.ExceptionTranslationFilter@20dd5e3f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7c71454c]
2023-11-14 00:15:31.310 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-14 00:15:31.325 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-14 00:15:31.343 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-14 00:15:31.354 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 2.457 seconds (JVM running for 3.106)
2023-11-14 00:15:38.188 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-14 00:15:38.189 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-14 00:15:38.191 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2023-11-14 00:15:38.314 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-14 00:15:38.513 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-14 01:21:51.775 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-14 01:21:51.782 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-14 09:11:25.759 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 19076 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-14 09:11:25.761 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-14 09:11:25.975 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-14 09:11:25.975 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-14 09:11:27.387 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-14 09:11:27.397 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-14 09:11:27.398 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-14 09:11:27.398 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-14 09:11:27.475 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-14 09:11:27.476 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1501 ms
2023-11-14 09:11:28.134 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3803df70, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f160369, org.springframework.security.web.context.SecurityContextPersistenceFilter@48c9e61f, org.springframework.security.web.header.HeaderWriterFilter@237847f0, org.springframework.security.web.authentication.logout.LogoutFilter@31d5cd3f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@754c49d0, org.springframework.security.web.session.ConcurrentSessionFilter@6962e35e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@18490918, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35e9b9c3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1824b96a, org.springframework.security.web.session.SessionManagementFilter@665c1274, org.springframework.security.web.access.ExceptionTranslationFilter@32d403aa, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@52355c93]
2023-11-14 09:11:28.509 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-14 09:11:28.523 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-14 09:11:28.540 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-14 09:11:28.556 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 3.101 seconds (JVM running for 6.989)
2023-11-14 09:12:30.820 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-14 09:12:30.820 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-14 09:12:30.828 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-14 09:12:46.745 INFO  [http-nio-8086-exec-3] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-14 09:12:46.988 INFO  [http-nio-8086-exec-3] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-14 09:12:47.529 WARN  [http-nio-8086-exec-3] [o.a.catalina.util.SessionIdGeneratorBase] - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [143] milliseconds.
2023-11-14 09:25:41.932 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-14 09:25:41.938 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-14 09:25:57.737 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 27812 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-14 09:25:57.740 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-14 09:25:57.934 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-14 09:25:57.934 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-14 09:25:58.836 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-14 09:25:58.842 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-14 09:25:58.843 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-14 09:25:58.844 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-14 09:25:58.916 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-14 09:25:58.916 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 982 ms
2023-11-14 09:25:59.463 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@15e60292, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@248d22ea, org.springframework.security.web.context.SecurityContextPersistenceFilter@23318595, org.springframework.security.web.header.HeaderWriterFilter@47f7865, org.springframework.security.web.authentication.logout.LogoutFilter@6ab60781, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6d9b882c, org.springframework.security.web.session.ConcurrentSessionFilter@193bd172, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6a31dbcf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7f49cb87, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a330953, org.springframework.security.web.session.SessionManagementFilter@3c87ab0d, org.springframework.security.web.access.ExceptionTranslationFilter@20dd5e3f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7c71454c]
2023-11-14 09:25:59.792 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-14 09:25:59.808 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-14 09:25:59.824 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-14 09:25:59.835 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 2.398 seconds (JVM running for 3.069)
2023-11-14 09:26:16.026 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-14 09:26:16.026 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-14 09:26:16.028 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 2 ms
2023-11-14 09:26:16.127 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-14 09:26:16.316 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-14 09:27:35.927 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-14 09:27:35.930 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-14 09:27:45.212 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 23472 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-14 09:27:45.215 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-14 09:27:45.402 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-14 09:27:45.402 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-14 09:27:46.248 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-14 09:27:46.254 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-14 09:27:46.255 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-14 09:27:46.256 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-14 09:27:46.321 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-14 09:27:46.321 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 918 ms
2023-11-14 09:27:46.825 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7dee98a7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b7979ad, org.springframework.security.web.context.SecurityContextPersistenceFilter@4e8b039, org.springframework.security.web.header.HeaderWriterFilter@646da2ba, org.springframework.security.web.authentication.logout.LogoutFilter@7070b407, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@109ccfb8, org.springframework.security.web.session.ConcurrentSessionFilter@1e6fff8f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6f515a4d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5c832152, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5380ab9, org.springframework.security.web.session.SessionManagementFilter@35ffdedb, org.springframework.security.web.access.ExceptionTranslationFilter@261fa048, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@22ef6cd4]
2023-11-14 09:27:47.160 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-14 09:27:47.175 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-14 09:27:47.192 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-14 09:27:47.202 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 2.272 seconds (JVM running for 2.917)
2023-11-14 09:28:03.333 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-14 09:28:03.333 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-14 09:28:03.334 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-14 09:28:03.382 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-14 09:28:03.458 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-14 09:28:15.515 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-14 09:28:15.518 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-14 09:28:24.570 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 17988 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-14 09:28:24.572 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-14 09:28:24.762 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-14 09:28:24.763 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-14 09:28:25.662 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-14 09:28:25.669 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-14 09:28:25.670 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-14 09:28:25.670 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-14 09:28:25.732 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-14 09:28:25.732 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 969 ms
